Artikelname,Preis,Beschreibung
Apfel,100,vergoldete Äpfel
Kiwi,200,gedeiht auf den Malediven
Orange,150,original Africa made 
Erdbeere,130,schmeckt geil
Banane,140,ist geil 
Rolex,10000,Das Must-Have für die Checker von Monnem!!!!
Timberland Boots,1700,für krass geile Boys :-D
Adidas Weste,500,mit Diamanten besetzt
IPAD luxury version 2.0,150000,mit Strasssteinchen von Swarowski besetzt
Macbook,16000,bla
Nasenpiercing Titan,15000,leider vergriffen :-(
Coca Cola,150,original Coke from Coke Tree
Microsoft - Windows Laptop,14000,Krass geiler Laptop 
Intel Core I10,40000,geiler schneller Prozessor
Marlboro Zigaretten,3000,ganze Stange
Eier,4000,"richtig fett, (Glocken)"
Lenovo Thinkpad X1000,6000,einfach Wow!!! Orgasmus.....
Gillette Wireless Rasierdrohne,50000,fliegend leichter Rasierer
Laborghini Super Veloce,190000000,"lackiert nach Wunsch (Gold, Silber, Diamant besetzt), 10000 PS"
AUDI RS 10,20000000,17000PS
Porsche Carrirrera,50000000,15000 PS
Toilettenpapier 4 lagig,3000,10er Pack
Toilettenpapier 3 lagig,2500,10er Pack
Toilettenpapier 2 lagig,2000,10er Pack
Ferrari Superfast,528000000,56000 PS
Bentley,120900000,78000 PS
Rolls Royce,24000000,45000 PS
Lamborghini Huracane,4000000,30000 PS
Porsche GT2,500000,34000 PS
Magnum mit Nüssen,45000,weiße oder dunkle Schokolade 